15
4
5
3
3,
1,Single bed,Dang su dung,Tieu chuan,An uong,Nguyen Van A,
2,Single bed,Dang su dung,Tieu chuan,Tron goi,Tran Thi B,
3,Single bed,X,Huong nui,X,X,
4,Single bed,X,Huong bien,X,X,
5,Double bed,Dang su dung,Tieu chuan,Don dep,Le Thi C,
6,Double bed,Da dat,Tieu chuan,Tron goi,Pham Van D,
7,Double bed,Da dat,Huong nui,Don dep,Nguyen Thi E,
8,Double bed,X,Huong bien,X,X,
9,Double bed,X,Huong bien,X,X,
10,Queen size bed,Dang su dung,Huong nui,Tron goi,Tran Van F,
11,Queen size bed,X,Huong bien,X,X,
12,Queen size bed,X,Huong bien,X,X,
13,King size bed,Da dat,Huong nui,Tron goi,Banh Van G,
14,King size bed,X,Huong nui,X,X,
15,King size bed,X,Huong bien,X,X,
